City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1559582,Palau,PW,7.503,134.621,77.0,94,75,5.64
2090021,Namatanai,PG,-3.6667,152.4333,79.11,77,27,5.28
293842,Kiryat Gat,IL,31.61,34.7642,61.84,55,0,1.99
2450173,Taoudenni,ML,22.6783,-3.9836,86.31,22,12,16.13
3629710,Puerto Ayacucho,VE,5.6639,-67.6236,87.4,59,77,1.68
1259184,Puri,IN,19.8,85.85,80.6,69,0,6.91
555111,Ivanteyevka,RU,55.9711,37.9208,27.68,74,90,13.42
7671223,Kloulklubed,PW,7.0419,134.2556,77.0,94,75,3.6
1811720,Enshi,CN,30.3,109.4833,60.15,86,1,2.62
3645532,Ciudad Bolivar,VE,8.1222,-63.5497,86.95,52,95,9.62
4845585,Westport,US,41.1415,-73.3579,38.03,26,1,14.97
2012646,Zarubino,RU,42.63,131.0922,36.21,69,4,4.43
1272140,Dwārka,IN,22.2394,68.9678,78.15,71,0,14.43
2294962,Swedru,GH,5.5371,-0.6998,87.8,70,20,16.11
3416888,Grindavik,IS,63.8424,-22.4338,28.4,59,40,20.71
797213,Pervomayskoye,RU,43.919,46.7102,30.65,77,100,9.48
3984997,San Quintín,MX,30.4833,-115.95,51.71,66,20,5.79
2070998,Geraldton,AU,-28.7667,114.6,75.2,31,0,17.27
3361934,Saldanha,ZA,-33.0117,17.9442,73.4,64,44,5.75
2109528,Buala,SB,-8.145,159.5921,78.96,81,100,7.99
964712,Plettenberg Bay,ZA,-34.0527,23.3716,71.38,68,56,5.03
2173125,Burnie,AU,-41.0667,145.9167,46.0,81,0,10.0
2063036,Port Lincoln,AU,-34.7333,135.8667,56.53,62,34,12.21
2828737,Steinbach am Taunus,DE,50.1667,8.5667,49.37,61,40,24.16
